[2025-09-04--13-48-47 INFO actix_server::builder] starting 5 workers
[2025-09-04--13-48-47 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-09-04--13-48-47 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-09-04--13-48-49 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-09-04--13-48-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59218.
[2025-09-04--13-54-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47264.
[2025-09-04--13-56-00 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 6754 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.002346
[2025-09-04--13-56-00 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.000152
[2025-09-04--13-56-00 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/fd671620ab0cb221.css HTTP/1.1" 200 25057 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.004184
[2025-09-04--13-56-01 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-137c9684d73de8de.js HTTP/1.1" 200 4665 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.000797
[2025-09-04--13-56-01 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-3e881fb742a87abf.js HTTP/1.1" 200 219 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.000396
[2025-09-04--13-56-01 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/c16f53c3-d20dab724af58680.js HTTP/1.1" 200 2698 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.000827
[2025-09-04--13-56-01 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/4bd1b696-cc729d47eba2cee4.js HTTP/1.1" 200 55434 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.007894
[2025-09-04--13-56-01 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/5964-bac2686a39d63815.js HTTP/1.1" 200 44320 "http://127.0.0.1:18488/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" 0.005552
